,review,score,source
0,way plug us unless go converter,0,Amazon
1,good case excellent value,1,Amazon
2,great jawbone,1,Amazon
3,tied charger conversations lasting minutes major problems,0,Amazon
4,mic great,1,Amazon
5,jiggle plug get line right get decent volume,0,Amazon
6,several dozen several hundred contacts imagine fun sending one one,0,Amazon
7,razr owneryou must,1,Amazon
8,needless say wasted money,0,Amazon
9,waste money time,0,Amazon
10,sound quality great,1,Amazon
11,impressed going original battery extended battery,1,Amazon
12,two seperated mere ft started notice excessive static garbled sound headset,0,Amazon
13,good quality though,1,Amazon
14,design odd ear clip comfortable,0,Amazon
15,highly recommend one blue tooth phone,1,Amazon
16,advise everyone fooled,0,Amazon
17,far good,1,Amazon
18,works great,1,Amazon
19,clicks place way makes wonder long mechanism would last,0,Amazon
20,went motorolas website followed directions could get pair,0,Amazon
21,bought use kindle fire absolutely loved,1,Amazon
22,commercials misleading,0,Amazon
23,yet run new battery two bars thats three days without charging,1,Amazon
24,bought mother problem battery,0,Amazon
25,great pocket pc phone combination,1,Amazon
26,ive owned phone months say best mobile phone ive,1,Amazon
27,didnt think instructions provided helpful,0,Amazon
28,people couldnt hear talk pull earphone talk phone,0,Amazon
29,doesnt hold charge,0,Amazon
30,simple little phone use breakage unacceptible,0,Amazon
31,product ideal people like whose ears sensitive,1,Amazon
32,unusable moving car freeway speed,0,Amazon
33,two years left contract hate phone,0,Amazon
34,car charger well ac charger included make sure never run juicehighy recommended,1,Amazon
35,need least mins get phone book time first turn phonebattery life short,0,Amazon
36,kept well,1,Amazon
37,poor talk time performance,0,Amazon
38,case great works fine,1,Amazon
39,worthless product,0,Amazon
40,great camera thats mp pics nice clear great picture quality,1,Amazon
41,impressed product,0,Amazon
42,nice headset priced right,1,Amazon
43,hear garbage audio,0,Amazon
44,excellent bluetooth headset,1,Amazon
45,features want,1,Amazon
46,right mind gonna buy battery,0,Amazon
47,arguing verizon regarding dropped calls returned phones two days,0,Amazon
48,case seems well made,1,Amazon
49,disappointed battery,0,Amazon
50,loud enough doesnt turn like,0,Amazon
51,good protection make phone bulky,1,Amazon
52,usable keyboard actually turns pda realworld useful machine instead neat gadget,1,Amazon
53,phone pretty sturdy ive never large problems,1,Amazon
54,love thing,1,Amazon
55,everything fine reasonable price ie,1,Amazon
56,disappointed,0,Amazon
57,even dropped phone stream submerged seconds still works great,1,Amazon
58,happy complaints one regarding sound quality end,1,Amazon
59,buttons bad,0,Amazon
60,essentially forget microsofts tech support,0,Amazon
61,really recommend faceplates since looks nice elegant cool,1,Amazon
62,headphones great find think perhaps best purchase ive made last several years seriously,1,Amazon
63,buy different phone,0,Amazon
64,hold phone particular angle party hear clearly,0,Amazon
65,one big drawback mp player buttons phones front cover let pause skip songs lock seconds,0,Amazon
66,week later activated suddenly died,0,Amazon
67,feels comfortable headsets wear glasses gets way sometimes,1,Amazon
68,great ipods,1,Amazon
69,device great several situations,1,Amazon
70,mic doesnt work,0,Amazon
71,even bmw series fairly quiet trouble hearing person saying,0,Amazon
72,great choice,1,Amazon
73,nice docking station home work,1,Amazon
74,beautiful phone,1,Amazon
75,love product,1,Amazon
76,buy dwrongly advertised,0,Amazon
77,great little item,1,Amazon
78,love phone handy lot features,1,Amazon
79,purchased within days longer working,0,Amazon
80,wear everyday holds well,1,Amazon
81,good bargain,0,Amazon
82,well packaged arrived time works intended,1,Amazon
83,battery runs quickly,0,Amazon
84,item worked great broke months use,0,Amazon
85,headsets easy use everyone loves,1,Amazon
86,phone works great,1,Amazon
87,construction headsets poor,0,Amazon
88,product excellent works better verizon one boy cheaper,1,Amazon
89,phone loads super,1,Amazon
90,product costs much one expect work far better greater ease thing,0,Amazon
91,made sturdy,1,Amazon
92,worked great,1,Amazon
93,ear buds play music one ear,0,Amazon
94,dont waste money,0,Amazon
95,order,1,Amazon
96,plan use car forget,0,Amazon
97,found product waaay big,0,Amazon
98,best ive found far ive tried bluetooths one best quality listener well ease using,1,Amazon
99,im disappointed decision,0,Amazon
100,integrated seamlessly motorola razr phone,1,Amazon
101,buyer beware could flush money right toilet,0,Amazon
102,definitely bargain,1,Amazon
103,price good free shipping good purchase,1,Amazon
104,received supposedly new motorola apparently match phone charger,0,Amazon
105,prosgood camera nice pictures also cool styles like black white,1,Amazon
106,thats huge design flaw unless im using correctly dont think case,0,Amazon
107,love headset jabra bluetooth headset great reception good ear piece comfortable fit,1,Amazon
108,camera although rated impressive megapixels renders images fall well expectations relatively high resolution,0,Amazon
109,purcashed car charger work,0,Amazon
110,sound quality end excellent use headset call wife ask wife use headset call,1,Amazon
111,phone slim light display beautiful,1,Amazon
112,little geeky think thats sex toast rocks oozes sex right battery embedded sleek stylish leather case,1,Amazon
113,great product fast shipping,1,Amazon
114,absolutely great,1,Amazon
115,keyboard nice compromise full qwerty basic cell phone number keypad,1,Amazon
116,got phone around end may im completely unhappy,0,Amazon
117,comfortable ear,1,Amazon
118,winner us,1,Amazon
119,setup couldnt simpler,1,Amazon
120,ive tried several different earpieces cell phone jabra one first one ive found fits ear comfortably,1,Amazon
121,could get strong enough signal,0,Amazon
122,iam pleased purchase,1,Amazon
123,bad quality,0,Amazon
124,gets job done,1,Amazon
125,great audio,1,Amazon
126,basically service bad,0,Amazon
127,work cell phone plug set charger,0,Amazon
128,ive bluetooth weeks really like,1,Amazon
129,bt headset disapoinment,0,Amazon
130,small dont even realize getting used,1,Amazon
131,accompanied software almost brilliant,1,Amazon
132,headset works great packaged nicely avoid damage,1,Amazon
133,definitly recommend,1,Amazon
134,buyerbe careful,0,Amazon
135,majority logitech earbud headsets failed,0,Amazon
136,good stuff price,1,Amazon
137,headset works peachykeen,1,Amazon
138,house getting dropped coverage upstairs coverage basement,0,Amazon
139,voice recognition tremendous,1,Amazon
140,waste,0,Amazon
141,several different minute calls experienced drops area bars,0,Amazon
142,happy item,0,Amazon
143,disappointed,0,Amazon
144,phone takes forever charge like hours literally,0,Amazon
145,got phone reccomendation relative im glad,1,Amazon
146,waste time,0,Amazon
147,reception poor,0,Amazon
148,items stated included description included,0,Amazon
149,months screen went black sudden,0,Amazon
150,hoping,0,Amazon
151,audio quality poor poor,0,Amazon
152,absolutely problem headset linking blackberry curve,1,Amazon
153,know sounds funny seemed like sketchy technology wouldnt work wellwell one works great,1,Amazon
154,ive bought wired headphones sound better,0,Amazon
155,phone fast sending kind messages web browsing significantly faster previous phones used,1,Amazon
156,nice quality build unlike cheap,1,Amazon
157,item fantastic works perfectly,1,Amazon
158,love colors,1,Amazon
159,wi superb,1,Amazon
160,whine internet goesthe use thing less like,0,Amazon
161,great charger,1,Amazon
162,essentially communications tool communicate,0,Amazon
163,works like charm work one got phone,1,Amazon
164,still maintain monkeys shouldnt make headphones obviously dont share enough dna copy design humans,0,Amazon
165,great value,1,Amazon
166,doesnt work bougth lc working,0,Amazon
167,look sharp screen nice clear great graphics,1,Amazon
168,doesnt last long,0,Amazon
169,one thing hate mode set button side,0,Amazon
170,excellent service,1,Amazon
171,thank wasting money,0,Amazon
172,bethe audio quality poor,0,Amazon
173,igo chargers tips really great,1,Amazon
174,file browser offers options one needshandsfree great,1,Amazon
175,superb phone great network,1,Amazon
176,connected wifes bluetoothmotorola hs phone worked like charm whether phone pocket case,1,Amazon
177,put latest os vg likes slow crawl lock every,0,Amazon
178,recognizes phone storage device,0,Amazon
179,like loud buzzing override conversations phone,0,Amazon
180,dont buy product,0,Amazon
181,ive bluetoooth headset time still comfortable way fits ear,0,Amazon
182,sound quality good functionality awesome,1,Amazon
183,phone thorn side really abhor,0,Amazon
184,recently problems could stay connected minutes disconnected,0,Amazon
185,incredible,1,Amazon
186,design flaw,0,Amazon
187,great phone,1,Amazon
188,waste bucks,0,Amazon
189,check voice mail night keypad backlight turns seconds first message im lost,0,Amazon
190,replacement died weeks,0,Amazon
191,ring toneoverall good phone buy,1,Amazon
192,lately extremely nice helpful phone,1,Amazon
193,problems wit hit dropping signal,0,Amazon
194,impressed,0,Amazon
195,light weight hardly notice,1,Amazon
196,youll love thin,1,Amazon
197,bad choice,0,Amazon
198,pleather case doesnt fit,0,Amazon
199,useless phone simply deaf,0,Amazon
200,color even prettier thought would graphics incredibly sharp,1,Amazon
201,think good investment,1,Amazon
202,makes strange ticking noises ends call,0,Amazon
203,best electronics available fm transmitters,1,Amazon
204,battery lasts hours,0,Amazon
205,great headset impressed h,1,Amazon
